id.tender;id.lot;date;id.procurer;id.bidder;cpv;good;procedure;threshold;count;expected.value;round.0;round.3;quantity;measurement
UA-2016-08-11-000635-b;UA-2016-08-11-000635-b-L1;11.08.2016;39760520;23863399;30197630-1 Папір для друку;Папір для друку А4;Допорогова закупівля;Допороги;2;3960;3719;3719;60;пачок
UA-2016-08-11-000229-b;UA-2016-08-11-000229-b-L1;11.08.2016;2216158;39417349;30197630-1 Папір для друку;папір ксероксний А4;Допорогова закупівля;Допороги;2;12730;11879;11377;190;пачок
UA-2016-08-11-000286-c;UA-2016-08-11-000286-c-L1;11.08.2016;2125651;23863399;30100000-0 Офісні техніка, устаткування та приладдя, крім комп’ютерів, принтерів та меблів;папір А-4,клас паперу С, щільність 80 г/ м кв., упаковка 500 л. в пачці, доставка за рахунок продавця;Допорогова закупівля;Допороги;3;3850;3300;3297;50;пачок
UA-2016-08-12-000228-c;UA-2016-08-12-000228-c-L1;12.08.2016;2313476;2805601235;30197630-1 Папір для друку;Папір офісний А4, 500аркушів,  80 г/м2;Допорогова закупівля;Допороги;2;11700;11600;11380;185;пачка
UA-2016-08-12-000064-b;UA-2016-08-12-000064-b-L1;12.08.2016;23929891;39417349;30199110-4 Копіювальний папір;Папір офісний А4, 80 г/м3;Допорогова закупівля;Допороги;2;10000;9545;9394;150;пачок
UA-2016-08-12-000086-c;UA-2016-08-12-000086-c-L1;12.08.2016;7852893;37302187;30197630-1 Папір для друку;папір офісний, білий, формату А4, 80г/м  500арк;Допорогова закупівля;Допороги;2;14500;13696;13496;215;пачок
UA-2016-08-12-000703-b;UA-2016-08-12-000703-b-L1;12.08.2016;14083739;39417349;30197630-1 Папір для друку;Папір офісний, формат  A4, 80г/м2;Допорогова закупівля;Допороги;2;10045;4998;4497;70;пачка
UA-2016-08-15-000302-b;UA-2016-08-15-000302-b-L1;15.08.2016;22489;22047108;30197600-2 Оброблені папір і картон;Папір офісний Canon Yellow Label А-4, 80г/м кв.;Допорогова закупівля;Допороги;3;34700;33170;32645;535;пачок
UA-2016-08-15-000140-a;UA-2016-08-15-000140-a-L1;15.08.2016;40314229;25551379;30197630-1 Папір для друку;Папір офісний А4;Допорогова закупівля;Допороги;3;16000;13200;12799;200;пачок
UA-2016-08-15-000139-a;UA-2016-08-15-000139-a-L1;15.08.2016;36742967;25394112;30197000-6 Дрібне канцелярське приладдя;ПапірА4,-65 упаковок,Файли А4-10упаковок,;Допорогова закупівля;Допороги;2;6000;4621;4621;75;упаковка
UA-2016-08-16-000238-b;UA-2016-08-16-000238-b-L1;16.08.2016;3195688;25551379;30197630-1 Папір для друку;папір офісний A4 (210x297mm) 500 листів 80g/m;Допорогова закупівля;Допороги;2;5100;5040;5040;80;пачок
UA-2016-08-16-000849-b;UA-2016-08-16-000849-b-L1;16.08.2016;37611417;33327611;30197630-1 Папір для друку;Папір А4;Допорогова закупівля;Допороги;2;3683;3524;3399;55;пачок
UA-2016-08-16-000485-b;UA-2016-08-16-000485-b-L1;16.08.2016;4054334;25551379;30199110-4 Копіювальний папір;Папір офісний (білий) формат А4;Допорогова закупівля;Допороги;2;20000;18885;17799;285;пачок
UA-2016-08-17-000213-c;UA-2016-08-17-000213-c-L1;17.08.2016;5448610;35008925;30197630-1 Папір для друку;Папір офісний А4 (500 арк.) 80  г/м2.;Допорогова закупівля;Допороги;3;44750;40755;40300;650;пачка
UA-2016-08-17-000496-c;UA-2016-08-17-000496-c-L1;17.08.2016;22864480;23863399;30197630-1 Папір для друку;Папір для друку (Формат А4, щільність 80 г/м2, колір білий,);Допорогова закупівля;Допороги;2;3800;3249;3168;50;штуки
